Headline,Content,News Categories,Date
Christian priest dies by suicide after being booked over online post on Manipur violence,"Catholic priest Father Anil Francis died by suicide after he was booked by MP Police for sharing a post on Manipur violence, officials said. Father Francis was ""under tension and pressure"" over the FIR, the Sagar Diocese said. He was accused of insulting the national flag and a suicide note was recovered after his death.",['national'],19-09-2023
"Bharat is about our traditions, culture, past & future: Jaishankar","External Affairs Minister S Jaishankar said, ""When we speak about Bharat, this is what Bharat is. Bharat is about our traditions, our culture, our past and our future."" Jaishankar was speaking at the launch of PM Vishwakarma Yojana. It's the traditional artisans and craftspeople ""who leave the imprint of our culture in our history"", Jaishankar said at the event.",['national'],19-09-2023
Man killed for raising 'Hindustan Zindabad' slogan after watching 'Gadar 2',"A 30-year-old man named Malkit Singh alias Veeru was beaten to death by his friends for raising 'Hindustan Zindabad' slogan after watching 'Gadar 2' on his mobile phone in Chhattisgarh. His friends thought he raised the slogan to ""tease them"". Four accused in the case, Faizal, Tasavvur, Tarun Nishad, and Shubham Lahare, have been arrested. The fifth accused is absconding.",['national'],19-09-2023
"Men who pulled schoolgirl's dupatta, causing her death, shot at by police in UP","Two men accused of pulling the dupatta of a 17-year-old girl, who died after falling from her bicycle and getting run over in Uttar Pradesh, were shot at during a police encounter on Sunday. The third accused in the case, who is said to be a minor, broke his leg himself and surrendered. The accused were trying to avoid arrest.",['national'],19-09-2023
Woman raped by husband's friends on pretext of removing 'Vastu mistakes' in Maha,"Five people were arrested for allegedly raping a 35-year-old woman on the pretext of performing rituals to remove ""vastu mistakes"" in her house in Maharashtra's Palghar. The accused were the rape survivor's husband's friends who promised to rid her husband of an ""evil spell"", officials said. They allegedly fed her a spiked drink, which they called 'panchamrit', and assaulted her.",['national'],19-09-2023
"Burqa-clad women steal clothes from B'luru boutique, video surfaces","A CCTV footage showing a gang of three burqa-clad women stealing clothes from a boutique in Karnataka's Bengaluru surfaced. The three women entered the boutique as customers and allegedly stole clothes worth nearly ₹20,000 in broad daylight. Sharing the video, the complainant said that the boutique is run by his granddaughter and requested police to arrest the gang members.",['national'],19-09-2023
May you get some time off from work & have fun: Shah Rukh to PM Modi on 73rd birthday,"Shah Rukh Khan, while wishing PM Narendra Modi on his 73rd birthday, said, ""Have a healthy and joyful day. May you get some time off from work and have a bit of fun too."" Actor Akshay Kumar also wished the Prime Minister, saying, ""Keep inspiring us, year after year. Wishing you great health, prayers and happiness always.""","['entertainment', 'national']",19-09-2023
"Plea filed in Pakistan to reopen case of Bhagat Singh's death sentence, court objects","Lahore High Court has objected to a plea to reopen the case of Indian freedom fighter Bhagat Singh's death sentence by British regime in 1931. The petition said the sentencing must be set aside and he should be honoured with posthumous state awards. It said Singh fought for the sub-continent's freedom and is respected by Hindus, Muslims and Sikhs alike.","['world', 'national']",19-09-2023
"PM launches ₹13,000 cr Vishwakarma scheme for traditional workers","Prime Minister Narendra Modi on Sunday launched the 'PM Vishwakarma' scheme for traditional craftsmen and artisans on the occasion of 'Vishwakarma Jayanti'. The scheme will be fully funded by central government with an outlay of ₹13,000 crore. The scheme will cover 18 traditional crafts including - carpenter, boat maker, blacksmith, potter, sculptor, stone breaker, doll & toy maker, among others.",['national'],19-09-2023
Man smokes cigarette on roof of moving car; MP police react to video,"A video of a man standing on the roof of moving car and smoking a cigarette in Madhya Pradesh's Bhopal has surfaced on social media. Bhopal Traffic Police reacted to the video and sought date and place of the incident to initiate action. Meanwhile, a police officer said they have taken cognisance of the issue and have launched a probe.",['national'],19-09-2023
2 youths carrying dead body on bike arrested after vehicle skids off road in UP,"Two youths, carrying the body of a man wrapped in polythene on a motorbike, fell on the ground after their bike skidded at an intersection in Uttar Pradesh's Ayodhya. Ayodhya SSP Raj Karan Nayyar said the youths, who escaped from the scene, were later arrested. The duo were allegedly going to dispose of the body in a nearby stream.",['national'],19-09-2023
"PM Modi interacts with artisans at YashoBhoomi, video surfaces","PM Narendra Modi interacted with artisans and workers at the India International Convention and Expo Centre (IICC), YashoBhoomi, after inaugurating its first phase on Sunday. The PM was seen visiting different stalls showcasing traditional crafts at the exhibition organised at the Convention Centre. The YashoBhoomi centre is built over an area of over 73,000 square metres.",['national'],19-09-2023
"Samruddhi e-way too straight, making drivers sleepy: Maha Dy CM","The Samruddhi Mahamarg Expressway in Maharashtra is too straight and is making drivers sleepy, which is causing accidents, said Deputy CM Ajit Pawar. ""Some turns could have been made on this highway so that drivers don't feel sleepy. We need to take corrective measures after a thorough study,"" he said.",['national'],19-09-2023
Video shows people singing 'Happy Birthday' for PM Modi in metro,"A video of commuters singing 'Happy Birthday' for PM Narendra Modi, as he celebrates his 73rd birthday on Sunday, while he was travelling in the Delhi Metro has surfaced online. This comes as PM Modi inaugurated the extension of the airport metro express line. PM Modi can be seen giving a chocolate to a child in the video.",['national'],19-09-2023
